일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,18.2,0.000,0.070,0.467,0.00
3,0.011,20.7,0.080,0.080,0.531,8.00
4,0.027,23.5,0.100,0.100,0.603,10.00
5,0.042,27.3,0.110,0.110,0.700,11.00
6,0.060,30.5,0.130,0.130,0.782,13.00
7,0.075,33.4,0.140,0.140,0.856,14.00
8,0.091,36.3,0.160,0.160,0.931,16.00
9,0.108,39.1,0.170,0.170,1.003,17.00
10,0.123,42.0,0.190,0.190,1.077,19.00
11,0.139,45.0,0.200,0.200,1.154,20.00
12,0.154,48.2,0.220,0.220,1.236,22.00
13,0.171,51.4,0.230,0.230,1.318,23.00
14,0.187,54.7,0.250,0.250,1.403,25.00
15,0.203,58.1,0.260,0.260,1.490,26.00
16,0.219,61.6,0.280,0.280,1.579,28.00
17,0.235,63.3,0.290,0.290,1.623,29.00
18,0.251,67.4,0.300,0.300,1.728,30.00
19,0.266,71.5,0.320,0.320,1.833,32.00
20,0.282,75.4,0.330,0.330,1.933,33.00
21,0.299,79.1,0.350,0.350,2.028,35.00
22,0.315,82.8,0.360,0.360,2.123,36.00
23,0.331,86.5,0.380,0.380,2.218,38.00
24,0.347,90.0,0.390,0.390,2.308,39.00
25,0.363,93.5,0.410,0.410,2.397,41.00
26,0.378,97.1,0.420,0.420,2.490,42.00
27,0.394,100.5,0.440,0.440,2.577,44.00
28,0.410,104.0,0.450,0.450,2.667,45.00
29,0.427,107.5,0.470,0.470,2.756,47.00
30,0.443,109.3,0.480,0.480,2.803,48.00
31,0.459,113.4,0.500,0.500,2.908,50.00
32,0.475,117.5,0.510,0.510,3.013,51.00
33,0.491,121.3,0.520,0.520,3.110,52.00
34,0.506,124.9,0.540,0.540,3.203,54.00
35,0.523,128.5,0.550,0.550,3.295,55.00
36,0.540,132.0,0.570,0.570,3.385,57.00
37,0.555,135.5,0.580,0.580,3.474,58.00
38,0.571,138.9,0.600,0.600,3.562,60.00
39,0.587,142.3,0.610,0.610,3.649,61.00
40,0.604,145.6,0.630,0.630,3.733,63.00
41,0.620,148.9,0.640,0.640,3.818,64.00
42,0.636,152.1,0.660,0.660,3.900,66.00
43,0.652,153.8,0.670,0.670,3.944,67.00
44,0.668,157.6,0.690,0.690,4.041,69.00
45,0.683,161.3,0.700,0.700,4.136,70.00
46,0.699,164.8,0.720,0.720,4.226,72.00
47,0.715,168.2,0.730,0.730,4.313,73.00
48,0.731,171.4,0.740,0.740,4.395,74.00
49,0.747,174.6,0.760,0.760,4.477,76.00
50,0.763,177.7,0.770,0.770,4.556,77.00
51,0.779,180.8,0.790,0.790,4.636,79.00
52,0.795,183.9,0.800,0.800,4.715,80.00
53,0.812,186.9,0.820,0.820,4.792,82.00
54,0.827,189.8,0.830,0.830,4.867,83.00
55,0.843,192.8,0.850,0.850,4.944,85.00
56,0.860,194.9,0.860,0.860,4.997,86.00
57,0.876,197.3,0.880,0.880,5.059,88.00
58,0.892,200.9,0.890,0.890,5.151,89.00
59,0.907,204.3,0.910,0.910,5.238,91.00
60,0.923,207.5,0.920,0.920,5.321,92.00
61,0.940,210.5,0.940,0.940,5.397,94.00
62,0.956,213.5,0.950,0.950,5.474,95.00
63,0.972,216.4,0.960,0.960,5.549,96.00
64,0.988,219.3,0.980,0.980,5.623,98.00
65,1.004,222.1,0.990,0.990,5.695,99.00
66,1.020,224.9,1.010,1.010,5.767,101.00
67,1.036,227.7,1.020,1.020,5.838,102.00
68,1.052,230.5,1.040,1.040,5.910,104.00
69,1.068,233.3,1.050,1.050,5.982,105.00
70,1.083,234.7,1.070,1.070,6.018,107.00
71,1.100,237.8,1.080,1.080,6.097,108.00
72,1.116,241.0,1.100,1.100,6.179,110.00
73,1.132,243.9,1.110,1.110,6.254,111.00
74,1.147,246.7,1.120,1.120,6.326,112.00
75,1.163,249.4,1.140,1.140,6.395,114.00
76,1.179,252.0,1.150,1.150,6.462,115.00
77,1.195,254.6,1.170,1.170,6.528,117.00
78,1.211,257.1,1.180,1.180,6.592,118.00
79,1.227,259.5,1.200,1.200,6.654,120.00
80,1.244,262.0,1.210,1.210,6.718,121.00
81,1.259,264.3,1.230,1.230,6.777,123.00
82,1.275,266.7,1.240,1.240,6.838,124.00
83,1.292,268.7,1.260,1.260,6.890,126.00
84,1.307,271.4,1.270,1.270,6.959,127.00
85,1.324,273.9,1.290,1.290,7.023,129.00
86,1.339,276.3,1.300,1.300,7.085,130.00
87,1.357,278.7,1.310,1.310,7.146,131.00
88,1.371,281.0,1.330,1.330,7.205,133.00
89,1.387,283.3,1.340,1.340,7.264,134.00
90,1.403,285.6,1.360,1.360,7.323,136.00
91,1.420,287.8,1.370,1.370,7.379,137.00
92,1.436,290.0,1.390,1.390,7.436,139.00
93,1.451,292.3,1.400,1.400,7.495,140.00
94,1.467,294.5,1.420,1.420,7.551,142.00
95,1.484,296.7,1.430,1.430,7.608,143.00
96,1.499,298.4,1.450,1.450,7.651,145.00
97,1.515,301.0,1.460,1.460,7.718,146.00
98,1.532,303.6,1.470,1.470,7.785,147.00
99,1.548,306.2,1.490,1.490,7.851,149.00
100,1.564,308.7,1.500,1.500,7.915,150.00
101,1.580,311.1,1.520,1.520,7.977,152.00
102,1.596,313.5,1.530,1.530,8.038,153.00
103,1.612,315.8,1.550,1.550,8.097,155.00
