일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,10.0,0.000,0.070,0.333,0.00
3,0.010,11.0,0.080,0.080,0.367,0.16
4,0.026,12.0,0.090,0.090,0.400,0.18
5,0.043,13.0,0.110,0.110,0.433,0.22
6,0.059,14.0,0.120,0.120,0.467,0.24
7,0.075,15.0,0.140,0.140,0.500,0.28
8,0.091,16.0,0.150,0.150,0.533,0.30
9,0.107,16.0,0.170,0.170,0.533,0.34
10,0.123,17.0,0.180,0.180,0.567,0.36
11,0.139,18.0,0.200,0.200,0.600,0.40
12,0.155,19.0,0.210,0.210,0.633,0.42
13,0.171,19.0,0.230,0.230,0.633,0.46
14,0.187,20.0,0.240,0.240,0.667,0.48
15,0.202,20.0,0.260,0.260,0.667,0.52
16,0.219,21.0,0.270,0.270,0.700,0.54
17,0.235,21.0,0.290,0.290,0.700,0.58
18,0.251,22.0,0.300,0.300,0.733,0.60
19,0.267,22.0,0.320,0.320,0.733,0.64
20,0.283,23.0,0.330,0.330,0.767,0.66
21,0.298,23.0,0.350,0.350,0.767,0.70
22,0.315,23.0,0.360,0.360,0.767,0.72
23,0.331,23.0,0.370,0.370,0.767,0.74
24,0.347,23.0,0.390,0.390,0.767,0.78
25,0.363,24.0,0.400,0.400,0.800,0.80
26,0.379,24.0,0.420,0.420,0.800,0.84
27,0.395,25.0,0.430,0.430,0.833,0.86
28,0.411,25.0,0.450,0.450,0.833,0.90
29,0.427,26.0,0.460,0.460,0.867,0.92
30,0.443,27.0,0.480,0.480,0.900,0.96
31,0.459,28.0,0.490,0.490,0.933,0.98
32,0.475,28.0,0.510,0.510,0.933,1.02
33,0.490,29.0,0.520,0.520,0.967,1.04
34,0.507,30.0,0.540,0.540,1.000,1.08
35,0.523,30.0,0.550,0.550,1.000,1.10
36,0.539,31.0,0.570,0.570,1.033,1.14
37,0.555,32.0,0.580,0.580,1.067,1.16
38,0.571,32.0,0.600,0.600,1.067,1.20
39,0.587,30.0,0.610,0.610,1.000,1.22
40,0.603,27.0,0.620,0.620,0.900,1.24
41,0.619,26.0,0.640,0.640,0.867,1.28
42,0.636,25.0,0.650,0.650,0.833,1.30
43,0.652,25.0,0.670,0.670,0.833,1.34
44,0.668,24.0,0.680,0.680,0.800,1.36
45,0.683,24.0,0.700,0.700,0.800,1.40
46,0.698,24.0,0.710,0.710,0.800,1.42
47,0.715,24.0,0.730,0.730,0.800,1.46
48,0.732,25.0,0.740,0.740,0.833,1.48
49,0.747,26.0,0.760,0.760,0.867,1.52
50,0.763,26.0,0.770,0.770,0.867,1.54
51,0.779,27.0,0.790,0.790,0.900,1.58
52,0.795,28.0,0.800,0.800,0.933,1.60
53,0.811,28.0,0.810,0.810,0.933,1.62
54,0.827,29.0,0.830,0.830,0.967,1.66
55,0.843,30.0,0.840,0.840,1.000,1.68
56,0.858,30.0,0.860,0.860,1.000,1.72
57,0.875,31.0,0.870,0.870,1.033,1.74
58,0.891,32.0,0.890,0.890,1.067,1.78
59,0.907,33.0,0.900,0.900,1.100,1.80
60,0.924,33.0,0.920,0.920,1.100,1.84
61,0.939,34.0,0.930,0.930,1.133,1.86
62,0.955,34.0,0.950,0.950,1.133,1.90
63,0.971,35.0,0.960,0.960,1.167,1.92
64,0.987,35.0,0.980,0.980,1.167,1.96
65,1.003,35.0,0.990,0.990,1.167,1.98
66,1.019,36.0,1.000,1.000,1.200,2.00
67,1.035,36.0,1.020,1.020,1.200,2.04
68,1.052,37.0,1.030,1.030,1.233,2.06
69,1.067,37.0,1.050,1.050,1.233,2.10
70,1.083,37.0,1.060,1.060,1.233,2.12
71,1.100,37.0,1.080,1.080,1.233,2.16
72,1.116,38.0,1.090,1.090,1.267,2.18
73,1.131,38.0,1.110,1.110,1.267,2.22
74,1.148,38.0,1.120,1.120,1.267,2.24
75,1.163,39.0,1.140,1.140,1.300,2.28
76,1.179,39.0,1.150,1.150,1.300,2.30
77,1.195,39.0,1.170,1.170,1.300,2.34
78,1.211,39.0,1.180,1.180,1.300,2.36
79,1.227,40.0,1.190,1.190,1.333,2.38
80,1.243,40.0,1.210,1.210,1.333,2.42
81,1.259,40.0,1.220,1.220,1.333,2.44
82,1.275,41.0,1.240,1.240,1.367,2.48
83,1.291,41.0,1.250,1.250,1.367,2.50
84,1.307,41.0,1.270,1.270,1.367,2.54
85,1.323,42.0,1.280,1.280,1.400,2.56
86,1.339,42.0,1.300,1.300,1.400,2.60
87,1.355,42.0,1.310,1.310,1.400,2.62
88,1.371,42.0,1.330,1.330,1.400,2.66
89,1.387,43.0,1.340,1.340,1.433,2.68
90,1.403,43.0,1.350,1.350,1.433,2.70
91,1.419,43.0,1.370,1.370,1.433,2.74
92,1.435,44.0,1.380,1.380,1.467,2.76
93,1.451,44.0,1.400,1.400,1.467,2.80
94,1.467,44.0,1.410,1.410,1.467,2.82
95,1.483,44.0,1.430,1.430,1.467,2.86
96,1.499,45.0,1.440,1.440,1.500,2.88
97,1.515,45.0,1.460,1.460,1.500,2.92
98,1.531,45.0,1.470,1.470,1.500,2.94
99,1.548,45.0,1.490,1.490,1.500,2.98
100,1.563,46.0,1.500,1.500,1.533,3.00
101,1.579,46.0,1.520,1.520,1.533,3.04
102,1.595,46.0,1.530,1.530,1.533,3.06
103,1.611,46.0,1.540,1.540,1.533,3.08
