일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,11.4,0.000,0.070,0.380,0.00
3,0.011,13.9,0.080,0.080,0.463,0.16
4,0.027,16.5,0.100,0.100,0.550,0.20
5,0.042,18.9,0.110,0.110,0.630,0.22
6,0.059,21.1,0.130,0.130,0.703,0.26
7,0.075,22.2,0.140,0.140,0.740,0.28
8,0.091,24.2,0.160,0.160,0.807,0.32
9,0.107,26.0,0.170,0.170,0.867,0.34
10,0.123,27.4,0.190,0.190,0.913,0.38
11,0.139,28.3,0.200,0.200,0.943,0.40
12,0.155,28.7,0.220,0.220,0.957,0.44
13,0.171,28.8,0.230,0.230,0.960,0.46
14,0.187,29.1,0.250,0.250,0.970,0.50
15,0.203,29.6,0.260,0.260,0.987,0.52
16,0.219,30.5,0.270,0.270,1.017,0.54
17,0.235,31.7,0.290,0.290,1.057,0.58
18,0.251,33.4,0.300,0.300,1.113,0.60
19,0.267,35.3,0.320,0.320,1.177,0.64
20,0.283,37.2,0.330,0.330,1.240,0.66
21,0.299,37.5,0.350,0.350,1.250,0.70
22,0.315,35.5,0.360,0.360,1.183,0.72
23,0.331,33.9,0.380,0.380,1.130,0.76
24,0.347,32.8,0.390,0.390,1.093,0.78
25,0.363,31.8,0.410,0.410,1.060,0.82
26,0.379,31.2,0.420,0.420,1.040,0.84
27,0.394,30.8,0.440,0.440,1.027,0.88
28,0.411,30.5,0.450,0.450,1.017,0.90
29,0.427,30.4,0.470,0.470,1.013,0.94
30,0.443,30.2,0.480,0.480,1.007,0.96
31,0.459,30.1,0.490,0.490,1.003,0.98
32,0.475,30.1,0.510,0.510,1.003,1.02
33,0.491,30.2,0.520,0.520,1.007,1.04
34,0.507,30.4,0.540,0.540,1.013,1.08
35,0.523,30.8,0.550,0.550,1.027,1.10
36,0.539,31.8,0.570,0.570,1.060,1.14
37,0.555,33.0,0.580,0.580,1.100,1.16
38,0.571,34.5,0.600,0.600,1.150,1.20
39,0.587,36.4,0.610,0.610,1.213,1.22
40,0.603,38.6,0.630,0.630,1.287,1.26
41,0.619,41.0,0.640,0.640,1.367,1.28
42,0.635,43.6,0.660,0.660,1.453,1.32
43,0.651,46.3,0.670,0.670,1.543,1.34
44,0.667,49.1,0.690,0.690,1.637,1.38
45,0.683,51.9,0.700,0.700,1.730,1.40
46,0.699,54.7,0.710,0.710,1.823,1.42
47,0.715,57.5,0.730,0.730,1.917,1.46
48,0.731,59.5,0.740,0.740,1.983,1.48
49,0.747,62.6,0.760,0.760,2.087,1.52
50,0.763,65.8,0.770,0.770,2.193,1.54
51,0.779,68.7,0.790,0.790,2.290,1.58
52,0.795,71.7,0.800,0.800,2.390,1.60
53,0.811,74.5,0.820,0.820,2.483,1.64
54,0.827,77.2,0.830,0.830,2.573,1.66
55,0.843,80.0,0.850,0.850,2.667,1.70
56,0.859,82.7,0.860,0.860,2.757,1.72
57,0.875,85.3,0.880,0.880,2.843,1.76
58,0.891,88.0,0.890,0.890,2.933,1.78
59,0.907,90.7,0.900,0.900,3.023,1.80
60,0.923,93.2,0.920,0.920,3.107,1.84
61,0.939,95.2,0.930,0.930,3.173,1.86
62,0.955,97.2,0.950,0.950,3.240,1.90
63,0.971,100.4,0.960,0.960,3.347,1.92
64,0.988,103.5,0.980,0.980,3.450,1.96
65,1.004,106.3,0.990,0.990,3.543,1.98
66,1.019,109.0,1.010,1.010,3.633,2.02
67,1.035,111.7,1.020,1.020,3.723,2.04
68,1.051,114.3,1.040,1.040,3.810,2.08
69,1.067,116.8,1.050,1.050,3.893,2.10
70,1.083,119.3,1.070,1.070,3.977,2.14
71,1.099,121.9,1.080,1.080,4.063,2.16
72,1.115,124.4,1.090,1.090,4.147,2.18
73,1.132,126.9,1.110,1.110,4.230,2.22
74,1.148,129.3,1.120,1.120,4.310,2.24
75,1.164,131.1,1.140,1.140,4.370,2.28
76,1.179,133.8,1.150,1.150,4.460,2.30
77,1.196,136.5,1.170,1.170,4.550,2.34
78,1.211,139.1,1.180,1.180,4.637,2.36
79,1.227,141.5,1.200,1.200,4.717,2.40
80,1.243,143.9,1.210,1.210,4.797,2.42
81,1.259,146.3,1.230,1.230,4.877,2.46
82,1.275,148.5,1.240,1.240,4.950,2.48
83,1.291,150.7,1.260,1.260,5.023,2.52
84,1.306,152.9,1.270,1.270,5.097,2.54
85,1.323,155.0,1.280,1.280,5.167,2.56
86,1.339,157.1,1.300,1.300,5.237,2.60
87,1.354,159.2,1.310,1.310,5.307,2.62
88,1.371,161.2,1.330,1.330,5.373,2.66
89,1.387,162.3,1.340,1.340,5.410,2.68
90,1.403,164.8,1.360,1.360,5.493,2.72
91,1.419,167.1,1.370,1.370,5.570,2.74
92,1.435,169.3,1.390,1.390,5.643,2.78
93,1.452,171.4,1.400,1.400,5.713,2.80
94,1.468,173.4,1.420,1.420,5.780,2.84
95,1.483,175.4,1.430,1.430,5.847,2.86
96,1.500,177.3,1.440,1.440,5.910,2.88
97,1.515,179.2,1.460,1.460,5.973,2.92
98,1.531,181.1,1.470,1.470,6.037,2.94
99,1.547,183.0,1.490,1.490,6.100,2.98
100,1.563,184.9,1.500,1.500,6.163,3.00
101,1.580,186.8,1.520,1.520,6.227,3.04
102,1.596,188.2,1.530,1.530,6.273,3.06
103,1.612,190.3,1.550,1.550,6.343,3.10
