일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,6.4,0.000,0.060,0.213,0.00
3,0.010,7.7,0.080,0.080,0.257,0.16
4,0.026,9.0,0.090,0.090,0.300,0.18
5,0.043,10.3,0.110,0.110,0.343,0.22
6,0.058,11.5,0.120,0.120,0.383,0.24
7,0.074,12.8,0.140,0.140,0.427,0.28
8,0.090,14.2,0.150,0.150,0.473,0.30
9,0.107,15.5,0.170,0.170,0.517,0.34
10,0.123,16.7,0.180,0.180,0.557,0.36
11,0.138,17.4,0.200,0.200,0.580,0.40
12,0.154,18.9,0.210,0.210,0.630,0.42
13,0.170,20.1,0.230,0.230,0.670,0.46
14,0.186,21.0,0.240,0.240,0.700,0.48
15,0.202,21.4,0.260,0.260,0.713,0.52
16,0.218,21.4,0.270,0.270,0.713,0.54
17,0.234,21.4,0.290,0.290,0.713,0.58
18,0.250,21.8,0.300,0.300,0.727,0.60
19,0.265,22.3,0.310,0.310,0.743,0.62
20,0.281,23.0,0.330,0.330,0.767,0.66
21,0.298,23.6,0.340,0.340,0.787,0.68
22,0.314,24.3,0.360,0.360,0.810,0.72
23,0.330,25.0,0.370,0.370,0.833,0.74
24,0.345,25.8,0.390,0.390,0.860,0.78
25,0.362,26.5,0.400,0.400,0.883,0.80
26,0.378,27.7,0.420,0.420,0.923,0.84
27,0.394,28.1,0.430,0.430,0.937,0.86
28,0.410,26.5,0.450,0.450,0.883,0.90
29,0.426,24.9,0.460,0.460,0.830,0.92
30,0.442,23.8,0.480,0.480,0.793,0.96
31,0.458,23.2,0.490,0.490,0.773,0.98
32,0.475,22.7,0.510,0.510,0.757,1.02
33,0.491,22.4,0.520,0.520,0.747,1.04
34,0.507,22.1,0.530,0.530,0.737,1.06
35,0.522,22.1,0.550,0.550,0.737,1.10
36,0.538,22.1,0.560,0.560,0.737,1.12
37,0.554,22.2,0.580,0.580,0.740,1.16
38,0.570,22.3,0.590,0.590,0.743,1.18
39,0.586,22.5,0.610,0.610,0.750,1.22
40,0.603,22.9,0.620,0.620,0.763,1.24
41,0.618,23.8,0.640,0.640,0.793,1.28
42,0.634,24.7,0.650,0.650,0.823,1.30
43,0.650,25.7,0.670,0.670,0.857,1.34
44,0.666,26.8,0.680,0.680,0.893,1.36
45,0.682,28.0,0.700,0.700,0.933,1.40
46,0.698,29.2,0.710,0.710,0.973,1.42
47,0.714,30.4,0.730,0.730,1.013,1.46
48,0.730,31.6,0.740,0.740,1.053,1.48
49,0.746,32.7,0.750,0.750,1.090,1.50
50,0.762,33.9,0.770,0.770,1.130,1.54
51,0.778,35.1,0.780,0.780,1.170,1.56
52,0.794,35.9,0.800,0.800,1.197,1.60
53,0.810,37.3,0.810,0.810,1.243,1.62
54,0.826,38.6,0.830,0.830,1.287,1.66
55,0.841,39.7,0.840,0.840,1.323,1.68
56,0.858,40.9,0.860,0.860,1.363,1.72
57,0.874,42.0,0.870,0.870,1.400,1.74
58,0.890,43.1,0.890,0.890,1.437,1.78
59,0.906,44.1,0.900,0.900,1.470,1.80
60,0.922,45.1,0.920,0.920,1.503,1.84
61,0.939,46.1,0.930,0.930,1.537,1.86
62,0.955,47.0,0.940,0.940,1.567,1.88
63,0.970,47.8,0.960,0.960,1.593,1.92
64,0.986,48.6,0.970,0.970,1.620,1.94
65,1.002,48.8,0.990,0.990,1.627,1.98
66,1.018,49.5,1.000,1.000,1.650,2.00
67,1.034,50.3,1.020,1.020,1.677,2.04
68,1.050,51.1,1.030,1.030,1.703,2.06
69,1.067,51.8,1.050,1.050,1.727,2.10
70,1.082,52.5,1.060,1.060,1.750,2.12
71,1.099,53.1,1.080,1.080,1.770,2.16
72,1.114,53.8,1.090,1.090,1.793,2.18
73,1.130,54.4,1.110,1.110,1.813,2.22
74,1.146,54.9,1.120,1.120,1.830,2.24
75,1.163,55.4,1.130,1.130,1.847,2.26
76,1.179,56.0,1.150,1.150,1.867,2.30
77,1.195,56.5,1.160,1.160,1.883,2.32
78,1.210,56.9,1.180,1.180,1.897,2.36
79,1.226,57.2,1.190,1.190,1.907,2.38
80,1.242,57.8,1.210,1.210,1.927,2.42
81,1.259,58.4,1.220,1.220,1.947,2.44
82,1.275,58.9,1.240,1.240,1.963,2.48
83,1.291,59.2,1.250,1.250,1.973,2.50
84,1.307,59.5,1.270,1.270,1.983,2.54
85,1.323,59.8,1.280,1.280,1.993,2.56
86,1.339,60.1,1.300,1.300,2.003,2.60
87,1.355,60.3,1.310,1.310,2.010,2.62
88,1.370,60.3,1.320,1.320,2.010,2.64
89,1.386,60.4,1.340,1.340,2.013,2.68
90,1.402,60.3,1.350,1.350,2.010,2.70
91,1.419,60.2,1.370,1.370,2.007,2.74
92,1.435,60.0,1.380,1.380,2.000,2.76
93,1.451,59.7,1.400,1.400,1.990,2.80
94,1.466,59.5,1.410,1.410,1.983,2.82
95,1.482,59.3,1.430,1.430,1.977,2.86
96,1.499,59.0,1.440,1.440,1.967,2.88
97,1.515,58.9,1.460,1.460,1.963,2.92
98,1.531,58.6,1.470,1.470,1.953,2.94
99,1.547,58.3,1.480,1.480,1.943,2.96
100,1.562,58.1,1.500,1.500,1.937,3.00
101,1.578,57.9,1.510,1.510,1.930,3.02
102,1.594,57.7,1.530,1.530,1.923,3.06
103,1.610,57.4,1.540,1.540,1.913,3.08
