일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,14.2,0.000,0.060,0.473,0.00
3,0.002,17.1,0.080,0.080,0.570,0.16
4,0.016,19.9,0.090,0.090,0.663,0.18
5,0.032,22.7,0.110,0.110,0.757,0.22
6,0.048,25.2,0.120,0.120,0.840,0.24
7,0.064,27.3,0.140,0.140,0.910,0.28
8,0.081,28.4,0.150,0.150,0.947,0.30
9,0.097,28.8,0.160,0.160,0.960,0.32
10,0.113,29.0,0.180,0.180,0.967,0.36
11,0.129,29.1,0.190,0.190,0.970,0.38
12,0.145,29.4,0.210,0.210,0.980,0.42
13,0.161,30.3,0.220,0.220,1.010,0.44
14,0.176,31.5,0.240,0.240,1.050,0.48
15,0.193,33.1,0.250,0.250,1.103,0.50
16,0.209,35.1,0.270,0.270,1.170,0.54
17,0.225,37.2,0.280,0.280,1.240,0.56
18,0.241,38.3,0.300,0.300,1.277,0.60
19,0.257,36.3,0.310,0.310,1.210,0.62
20,0.273,34.5,0.330,0.330,1.150,0.66
21,0.289,33.2,0.340,0.340,1.107,0.68
22,0.305,32.1,0.360,0.360,1.070,0.72
23,0.320,31.3,0.370,0.370,1.043,0.74
24,0.336,30.8,0.390,0.390,1.027,0.78
25,0.353,30.5,0.400,0.400,1.017,0.80
26,0.368,30.3,0.410,0.410,1.010,0.82
27,0.385,30.3,0.430,0.430,1.010,0.86
28,0.400,30.3,0.440,0.440,1.010,0.88
29,0.417,30.4,0.460,0.460,1.013,0.92
30,0.433,30.5,0.470,0.470,1.017,0.94
31,0.449,30.7,0.490,0.490,1.023,0.98
32,0.465,31.0,0.500,0.500,1.033,1.00
33,0.481,31.4,0.520,0.520,1.047,1.04
34,0.497,32.1,0.530,0.530,1.070,1.06
35,0.513,33.3,0.550,0.550,1.110,1.10
36,0.528,35.0,0.560,0.560,1.167,1.12
37,0.545,37.0,0.580,0.580,1.233,1.16
38,0.560,38.8,0.590,0.590,1.293,1.18
39,0.577,40.9,0.610,0.610,1.363,1.22
40,0.592,44.2,0.620,0.620,1.473,1.24
41,0.609,47.4,0.630,0.630,1.580,1.26
42,0.624,50.4,0.650,0.650,1.680,1.30
43,0.640,53.5,0.660,0.660,1.783,1.32
44,0.657,56.5,0.680,0.680,1.883,1.36
45,0.673,59.4,0.690,0.690,1.980,1.38
46,0.688,62.3,0.710,0.710,2.077,1.42
47,0.705,65.3,0.720,0.720,2.177,1.44
48,0.721,68.2,0.740,0.740,2.273,1.48
49,0.737,71.1,0.750,0.750,2.370,1.50
50,0.753,74.0,0.770,0.770,2.467,1.54
51,0.769,76.9,0.780,0.780,2.563,1.56
52,0.785,79.1,0.800,0.800,2.637,1.60
53,0.801,82.4,0.810,0.810,2.747,1.62
54,0.817,85.5,0.830,0.830,2.850,1.66
55,0.833,88.5,0.840,0.840,2.950,1.68
56,0.849,91.4,0.850,0.850,3.047,1.70
57,0.865,94.3,0.870,0.870,3.143,1.74
58,0.881,97.1,0.880,0.880,3.237,1.76
59,0.897,99.8,0.900,0.900,3.327,1.80
60,0.913,102.5,0.910,0.910,3.417,1.82
61,0.929,105.2,0.930,0.930,3.507,1.86
62,0.945,107.8,0.940,0.940,3.593,1.88
63,0.961,110.4,0.960,0.960,3.680,1.92
64,0.977,113.1,0.970,0.970,3.770,1.94
65,0.993,115.7,0.990,0.990,3.857,1.98
66,1.009,117.2,1.000,1.000,3.907,2.00
67,1.025,120.3,1.010,1.010,4.010,2.02
68,1.041,123.3,1.030,1.030,4.110,2.06
69,1.057,126.2,1.040,1.040,4.207,2.08
70,1.073,128.9,1.060,1.060,4.297,2.12
71,1.089,131.5,1.070,1.070,4.383,2.14
72,1.105,134.1,1.090,1.090,4.470,2.18
73,1.121,136.7,1.100,1.100,4.557,2.20
74,1.137,139.3,1.120,1.120,4.643,2.24
75,1.153,141.8,1.130,1.130,4.727,2.26
76,1.169,144.3,1.150,1.150,4.810,2.30
77,1.185,146.8,1.160,1.160,4.893,2.32
78,1.201,149.3,1.180,1.180,4.977,2.36
79,1.217,151.2,1.190,1.190,5.040,2.38
80,1.233,154.1,1.200,1.200,5.137,2.40
81,1.249,156.8,1.220,1.220,5.227,2.44
82,1.265,159.3,1.230,1.230,5.310,2.46
83,1.281,161.9,1.250,1.250,5.397,2.50
84,1.296,164.4,1.260,1.260,5.480,2.52
85,1.312,166.8,1.280,1.280,5.560,2.56
86,1.329,169.2,1.290,1.290,5.640,2.58
87,1.345,171.5,1.310,1.310,5.717,2.62
88,1.361,173.9,1.320,1.320,5.797,2.64
89,1.377,176.2,1.340,1.340,5.873,2.68
90,1.393,178.4,1.350,1.350,5.947,2.70
91,1.409,180.7,1.360,1.360,6.023,2.72
92,1.425,182.9,1.380,1.380,6.097,2.76
93,1.441,184.7,1.390,1.390,6.157,2.78
94,1.457,187.3,1.410,1.410,6.243,2.82
95,1.473,189.6,1.420,1.420,6.320,2.84
96,1.489,191.8,1.440,1.440,6.393,2.88
97,1.505,194.0,1.450,1.450,6.467,2.90
98,1.521,196.1,1.470,1.470,6.537,2.94
99,1.537,198.3,1.480,1.480,6.610,2.96
100,1.553,200.4,1.500,1.500,6.680,3.00
101,1.569,202.5,1.510,1.510,6.750,3.02
102,1.586,204.5,1.520,1.520,6.817,3.04
103,1.601,206.5,1.540,1.540,6.883,3.08
